"filename", "language", "HTML", "JavaScript", "CSS", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\Self_Dev\Javascript\node js basic\controllers\admin.js", "JavaScript", 0, 101, 0, 0, 0, 2, 8, 111
"d:\Self_Dev\Javascript\node js basic\controllers\auth.js", "JavaScript", 0, 72, 0, 0, 0, 1, 7, 80
"d:\Self_Dev\Javascript\node js basic\controllers\error.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 4
"d:\Self_Dev\Javascript\node js basic\controllers\node js basic.code-workspace", "JSON with Comments", 0, 0, 0, 0, 11, 0, 0, 11
"d:\Self_Dev\Javascript\node js basic\controllers\shop.js", "JavaScript", 0, 159, 0, 0, 0, 0, 10, 169
"d:\Self_Dev\Javascript\node js basic\data\cart.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Self_Dev\Javascript\node js basic\data\products.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Self_Dev\Javascript\node js basic\middleware\is-auth.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"d:\Self_Dev\Javascript\node js basic\models\cart-item.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 15
"d:\Self_Dev\Javascript\node js basic\models\cart.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"d:\Self_Dev\Javascript\node js basic\models\order-item.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"d:\Self_Dev\Javascript\node js basic\models\order.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"d:\Self_Dev\Javascript\node js basic\models\product.js", "JavaScript", 0, 27, 0, 0, 0, 24, 11, 62
"d:\Self_Dev\Javascript\node js basic\models\user.js", "JavaScript", 0, 14, 0, 0, 0, 29, 6, 49
"d:\Self_Dev\Javascript\node js basic\node js basic.code-workspace", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 8
"d:\Self_Dev\Javascript\node js basic\package-lock.json", "JSON", 0, 0, 0, 2864, 0, 0, 1, 2865
"d:\Self_Dev\Javascript\node js basic\package.json", "JSON", 0, 0, 0, 32, 0, 0, 1, 33
"d:\Self_Dev\Javascript\node js basic\public\css\auth.css", "CSS", 0, 0, 6, 0, 0, 0, 1, 7
"d:\Self_Dev\Javascript\node js basic\public\css\cart.css", "CSS", 0, 0, 22, 0, 0, 0, 4, 26
"d:\Self_Dev\Javascript\node js basic\public\css\forms.css", "CSS", 0, 0, 20, 0, 0, 0, 4, 24
"d:\Self_Dev\Javascript\node js basic\public\css\main.css", "CSS", 0, 0, 206, 0, 0, 0, 38, 244
"d:\Self_Dev\Javascript\node js basic\public\css\orders.css", "CSS", 0, 0, 25, 0, 0, 0, 5, 30
"d:\Self_Dev\Javascript\node js basic\public\css\product.css", "CSS", 0, 0, 23, 0, 0, 0, 4, 27
"d:\Self_Dev\Javascript\node js basic\public\js\main.js", "JavaScript", 0, 13, 0, 0, 0, 0, 4, 17
"d:\Self_Dev\Javascript\node js basic\routes.js", "JavaScript", 0, 0, 0, 0, 0, 52, 5, 57
"d:\Self_Dev\Javascript\node js basic\routes\admin.js", "JavaScript", 0, 12, 0, 0, 0, 3, 3, 18
"d:\Self_Dev\Javascript\node js basic\routes\auth.js", "JavaScript", 0, 9, 0, 0, 0, 0, 4, 13
"d:\Self_Dev\Javascript\node js basic\routes\shop.js", "JavaScript", 0, 13, 0, 0, 0, 1, 3, 17
"d:\Self_Dev\Javascript\node js basic\server.js", "JavaScript", 0, 75, 0, 0, 0, 0, 13, 88
"d:\Self_Dev\Javascript\node js basic\util\database.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3
"d:\Self_Dev\Javascript\node js basic\util\path.js", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 3
"d:\Self_Dev\Javascript\node js basic\views\404.ejs", "HTML", 6, 0, 0, 0, 0, 0, 2, 8
"d:\Self_Dev\Javascript\node js basic\views\admin\edit-product.ejs", "HTML", 31, 0, 0, 0, 0, 0, 3, 34
"d:\Self_Dev\Javascript\node js basic\views\admin\products.ejs", "HTML", 41, 0, 0, 0, 0, 0, 3, 44
"d:\Self_Dev\Javascript\node js basic\views\auth\login.ejs", "HTML", 20, 0, 0, 0, 0, 0, 2, 22
"d:\Self_Dev\Javascript\node js basic\views\auth\signup.ejs", "HTML", 24, 0, 0, 0, 0, 0, 2, 26
"d:\Self_Dev\Javascript\node js basic\views\includes\add-to-cart.ejs", "HTML", 4, 0, 0, 0, 0, 0, 0, 4
"d:\Self_Dev\Javascript\node js basic\views\includes\end.ejs", "HTML", 3, 0, 0, 0, 0, 0, 1, 4
"d:\Self_Dev\Javascript\node js basic\views\includes\head.ejs", "HTML", 8, 0, 0, 0, 0, 0, 1, 9
"d:\Self_Dev\Javascript\node js basic\views\includes\navigation.ejs", "HTML", 86, 0, 0, 0, 0, 0, 1, 87
"d:\Self_Dev\Javascript\node js basic\views\shop\cart.ejs", "HTML", 30, 0, 0, 0, 0, 0, 2, 32
"d:\Self_Dev\Javascript\node js basic\views\shop\checkout.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Self_Dev\Javascript\node js basic\views\shop\index.ejs", "HTML", 35, 0, 0, 0, 0, 0, 2, 37
"d:\Self_Dev\Javascript\node js basic\views\shop\orders.ejs", "HTML", 23, 0, 0, 0, 0, 0, 1, 24
"d:\Self_Dev\Javascript\node js basic\views\shop\product-detail.ejs", "HTML", 17, 0, 0, 0, 0, 0, 1, 18
"d:\Self_Dev\Javascript\node js basic\views\shop\product-list.ejs", "HTML", 40, 0, 0, 0, 0, 0, 2, 42
"Total", "-", 368, 555, 302, 2898, 19, 112, 169, 4423